T_AMB,G,v,t,P_LD,,
14,0,11.4,0:00:00,0.48,,1.2
14,0,12.1,1:00:00,0.48,,
14,0,11.3,2:00:00,0.48,,
14,0,11.2,3:00:00,0.48,,
14,0,11.2,4:00:00,0.72,,
14,0,11.0,5:00:00,0.96,,
13,0,10.2,6:00:00,2.28,,
14,50,11.2,7:00:00,2.76,,
14,120,10.7,8:00:00,2.28,,
15,250,9.9,9:00:00,1.8,,
15,400,10.2,10:00:00,2.04,,
15,550,10.1,11:00:00,2.28,,
15,700,10.1,12:00:00,2.64,,
15,750,9.5,13:00:00,3,,
15,550,9.4,14:00:00,3.24,,
15,100,9.0,15:00:00,3.48,,
14,20,8.4,16:00:00,3.84,,
14,0,8.1,17:00:00,4.08,,
14,0,8.2,18:00:00,4.2,,
14,0,7.7,19:00:00,4.08,,
13,0,9.1,20:00:00,3.72,,
13,0,9.7,21:00:00,3.36,,
13,0,10.1,22:00:00,2.52,,
13,0,9.6,23:00:00,1.92,,
