T_AMB,G,v,t,P_LD,,
13,0,1.0,0:00:00,0.36,,1.2
12,0,2.0,1:00:00,0.36,,
12,0,1.6,2:00:00,0.36,,
12,0,0.7,3:00:00,0.36,,
12,0,2.2,4:00:00,0.6,,
13,0,2.3,5:00:00,0.84,,
14,50,3.3,6:00:00,2.16,,
17,150,3.4,7:00:00,2.64,,
19,300,3.5,8:00:00,2.04,,
19,500,4.3,9:00:00,1.68,,
20,650,3.6,10:00:00,1.92,,
20,800,3.4,11:00:00,2.16,,
19,900,3.5,12:00:00,2.52,,
18,900,3.4,13:00:00,2.88,,
18,800,4.0,14:00:00,3,,
18,600,3.0,15:00:00,3.24,,
17,400,3.1,16:00:00,3.6,,
16,200,2.6,17:00:00,3.72,,
15,50,2.3,18:00:00,3.96,,
14,0,2.3,19:00:00,3.84,,
14,0,2.8,20:00:00,3.6,,
13,0,2.0,21:00:00,3.24,,
13,0,2.3,22:00:00,2.4,,
13,0,2.2,23:00:00,2.04,,
