T_AMB,G,v,t,P_LD,,
23,0,7.8,0:00:00,0.432,,1.2
23,0,8.1,1:00:00,0.432,,
23,0,7.8,2:00:00,0.432,,
23,0,7.8,3:00:00,0.432,,
23,0,7.0,4:00:00,0.432,,
24,50,6.6,5:00:00,0.72,,
25,150,6.5,6:00:00,2.16,,
27,300,6.1,7:00:00,2.88,,
29,500,5.9,8:00:00,2.16,,
29,650,5.7,9:00:00,1.728,,
30,800,5.9,10:00:00,2.16,,
30,900,6.3,11:00:00,2.448,,
30,1000,6.2,12:00:00,2.88,,
30,1000,5.7,13:00:00,3.168,,
31,900,6.5,14:00:00,3.6,,
31,700,7.4,15:00:00,3.888,,
30,500,8.1,16:00:00,4.32,,
29,300,7.4,17:00:00,4.608,,
29,150,8.1,18:00:00,5.04,,
28,50,7.7,19:00:00,5.04,,
26,0,7.2,20:00:00,4.752,,
25,0,6.7,21:00:00,4.032,,
25,0,6.0,22:00:00,2.88,,
24,0,6.4,23:00:00,2.16,,
