T_AMB,G,v,t,P_LD,,
6,0,4.1,0:00:00,0.6,,1.2
5,0,4.1,1:00:00,0.6,,
5,0,4.6,2:00:00,0.6,,
4,0,3.7,3:00:00,0.6,,
4,0,4.2,4:00:00,0.96,,
3,0,4.9,5:00:00,1.2,,
3,0,3.0,6:00:00,2.4,,
4,10,4.0,7:00:00,3,,
7,50,4.3,8:00:00,2.16,,
10,150,4.0,9:00:00,1.8,,
12,300,4.0,10:00:00,2.04,,
12,450,4.9,11:00:00,2.28,,
13,500,5.8,12:00:00,2.4,,
13,400,7.6,13:00:00,2.76,,
13,250,6.4,14:00:00,3.12,,
12,100,2.8,15:00:00,3.36,,
10,20,1.8,16:00:00,3.84,,
9,0,2.9,17:00:00,4.2,,
8,0,3.1,18:00:00,4.32,,
7,0,4.6,19:00:00,4.2,,
7,0,4.3,20:00:00,3.96,,
7,0,2.1,21:00:00,3.48,,
7,0,0.6,22:00:00,2.64,,
7,0,1.0,23:00:00,2.16,,
